fold,seed,dropout,emb_size,emb_type,save_dir,model_name,dataset_name,learning_rate,name,path_id,state,model_save_path,_step,_wandb,_runtime,validacc,validauc,_timestamp,best_epoch,create_time
1,42,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,hardy-sweep-47,jn30zhuj,running,,,,,,,,,
1,3407,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,clear-sweep-46,ui3dnop2,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.5_256_0.0001_1_1_b868cd89-d86b-4d0a-9909-296360b7402b/qid_model.ckpt,0.0,{'runtime': 1896},1896.7126965522768,0.9606281781224424,0.990868375237812,1686131743.8907084,22.0,1686131743.8907084
1,42,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,eager-sweep-45,xd1au7xs,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.5_256_0.0001_1_1_b1fdf4b2-b08b-4d0f-940b-6cbe579b3a81/qid_model.ckpt,0.0,{'runtime': 2191},2192.0047903060913,0.9613862316021092,0.991252655557212,1686129816.9512703,27.0,1686129816.9512703
1,3407,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,easy-sweep-44,0aunvcth,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.5_256_0.001_1_1_4b28936b-e7ed-4423-9146-489f7af7dbf6/qid_model.ckpt,0.0,{'runtime': 1006},1006.976582288742,0.9626776058926918,0.9919500786740376,1686127604.7534633,7.0,1686127604.7534633
1,42,0.5,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,usual-sweep-43,lkvteb6a,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.5_256_0.001_1_1_1932ea03-a5a8-4007-9c32-1cb1e9e4d0c0/qid_model.ckpt,0.0,{'runtime': 998},999.2061166763306,0.9625333744784188,0.9919681832826198,1686126581.6595128,7.0,1686126581.6595128
1,3407,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,summer-sweep-42,njfsaxbc,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.5_64_1e-05_1_1_5f93bed9-aa82-46f6-8136-497b0e0f9244/qid_model.ckpt,0.0,{'runtime': 434},435.09693908691406,0.8614305072920719,0.9140556211242068,1686125561.911103,49.0,1686125561.911103
1,42,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,rosy-sweep-41,3fetfv0v,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.5_64_1e-05_1_1_49673322-e1ab-445e-8618-4b5c1d4b8844/qid_model.ckpt,0.0,{'runtime': 447},448.1428852081299,0.8624367729730456,0.9204723128756678,1686125103.7575111,52.0,1686125103.7575111
1,3407,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,gentle-sweep-40,1x96wtb2,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.5_64_0.0001_1_1_0d092503-c0ef-4f66-8214-09442f6c13ed/qid_model.ckpt,0.0,{'runtime': 546},546.7687704563141,0.9578911354701944,0.9884655712363644,1686124641.717389,65.0,1686124641.717389
1,42,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,toasty-sweep-39,4ytezokp,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.5_64_0.0001_1_1_63393f20-d0a5-44ae-80f8-4d49dab3fe6c/qid_model.ckpt,0.0,{'runtime': 594},595.32821393013,0.957726778742302,0.9893235986790831,1686124074.414888,72.0,1686124074.414888
1,3407,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,dandy-sweep-38,4us7h1j6,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.5_64_0.001_1_1_17ac110f-c96e-4da4-8583-67059d94d48e/qid_model.ckpt,0.0,{'runtime': 167},168.3262062072754,0.9606818456254276,0.990793405172136,1686123461.4305563,13.0,1686123461.4305563
1,42,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,serene-sweep-37,etqxhts3,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.5_64_0.001_1_1_49bb5a1f-93d5-463f-8776-001d82649826/qid_model.ckpt,0.0,{'runtime': 176},177.35740733146667,0.9604705298324232,0.9909629060470684,1686123281.5382683,14.0,1686123281.5382683
1,3407,0.3,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,proud-sweep-36,zo33rkdj,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.3_256_1e-05_1_1_bd207747-4e89-4607-8e5e-f675ced04c71/qid_model.ckpt,0.0,{'runtime': 6357},6357.9696571826935,0.9545905840366012,0.9873034552198312,1686123047.3268893,101.0,1686123047.3268893
1,42,0.3,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,dainty-sweep-35,3b0dhghn,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.3_256_1e-05_1_1_3e9669a2-c94d-40f9-a758-10663792f420/qid_model.ckpt,0.0,{'runtime': 6477},6478.0796093940735,0.9549729649953712,0.9875423622609024,1686116637.1045685,103.0,1686116637.1045685
1,3407,0.3,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,quiet-sweep-34,yevbuf7v,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.3_256_0.0001_1_1_e127165a-b8ce-4e6c-b3da-0b9f89ca7e1a/qid_model.ckpt,0.0,{'runtime': 1840},1841.2948417663576,0.9608428481343836,0.9909319139937656,1686110121.1746378,22.0,1686110121.1746378
1,42,0.3,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,tough-sweep-33,85gx2r3j,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.3_256_0.0001_1_1_da8ba6fc-0e59-4904-9498-0b50fcd71ac2/qid_model.ckpt,0.0,{'runtime': 2175},2176.1665008068085,0.9616914655253378,0.9913648852404412,1686108252.850721,28.0,1686108252.850721
1,3407,0.3,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,deep-sweep-32,rmlwasa0,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.3_256_0.001_1_1_68accd81-7f86-4520-ba29-b5d81657a621/qid_model.ckpt,0.0,{'runtime': 1036},1037.190149307251,0.962828545744838,0.992057619764506,1686106041.3290594,8.0,1686106041.3290594
1,42,0.3,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,comic-sweep-31,5vp1qh7x,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.3_256_0.001_1_1_b74fc356-eacf-43f7-8f85-e0ac631e3daf/qid_model.ckpt,0.0,{'runtime': 975},976.1433856487274,0.9627882951175988,0.992050999335659,1686104981.9292276,7.0,1686104981.9292276
1,3407,0.3,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,vocal-sweep-30,rs4vkacm,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.3_64_1e-05_1_1_0b2b300f-1f63-4497-9c68-29f680595672/qid_model.ckpt,0.0,{'runtime': 435},436.4476900100708,0.8593508915513933,0.9137230113234436,1686103987.585393,50.0,1686103987.585393
1,42,0.3,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,rich-sweep-29,rzm2qw6e,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.3_64_1e-05_1_1_bed97eee-01bb-4752-8d42-3f307aeea1ab/qid_model.ckpt,0.0,{'runtime': 443},443.5200040340424,0.8616552399608227,0.9189096697685744,1686103532.37016,51.0,1686103532.37016
1,3407,0.3,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,hardy-sweep-28,8fiuijg5,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.3_64_0.0001_1_1_3a1ba486-a978-4e9a-865b-c9fddb4e3df8/qid_model.ckpt,0.0,{'runtime': 546},546.7059264183044,0.9580353668844672,0.9886324941255872,1686103073.9859114,64.0,1686103073.9859114
1,42,0.3,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,dauntless-sweep-27,qrz0fi25,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.3_64_0.0001_1_1_e023f719-8ca5-4cf2-99c3-003da3ad3516/qid_model.ckpt,0.0,{'runtime': 599},600.4822669029236,0.9577804462452874,0.9894961032094582,1686102510.8342328,72.0,1686102510.8342328
1,3407,0.3,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,drawn-sweep-26,ydob81w9,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.3_64_0.001_1_1_98c43fc7-cc38-4bac-9b35-a7ab1a10db1f/qid_model.ckpt,0.0,{'runtime': 169},170.26503038406372,0.9608394939154468,0.9908273055277644,1686101893.850881,13.0,1686101893.850881
1,42,0.3,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,vocal-sweep-25,0tcp7d7o,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.3_64_0.001_1_1_b2867761-1658-4fdd-b02f-d4ea923201f7/qid_model.ckpt,0.0,{'runtime': 187},187.83865904808044,0.9607724095367152,0.9911604411577428,1686101703.876301,15.0,1686101703.876301
1,3407,0.1,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,cerulean-sweep-24,gecbtzy2,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.1_256_1e-05_1_1_b51a2306-e416-46be-a4db-04d32a77c6b7/qid_model.ckpt,0.0,{'runtime': 6336},6336.548021554947,0.9545402707525524,0.9872726383569134,1686101456.0054083,100.0,1686101456.0054083
1,42,0.1,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,winter-sweep-23,g7cv39v3,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.1_256_1e-05_1_1_666bcff4-fa0d-4641-bd6e-c59868b3d8e8/qid_model.ckpt,0.0,{'runtime': 6537},6538.316867589951,0.9551239048475172,0.9876132094010232,1686095060.1900697,103.0,1686095060.1900697
1,3407,0.1,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,happy-sweep-22,1kqfs3f7,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.1_256_0.0001_1_1_ba111fc5-e289-4f06-9dd4-48421103c3b9/qid_model.ckpt,0.0,{'runtime': 1954},1954.5824797153473,0.9609703084539734,0.9909730965404856,1686088493.6785748,22.0,1686088493.6785748
1,42,0.1,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,exalted-sweep-21,qhs8tm72,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.1_256_0.0001_1_1_ee32e672-3f2c-4e71-9135-1c5c07286af2/qid_model.ckpt,0.0,{'runtime': 2322},2322.9825036525726,0.9618524680342936,0.9913803828960952,1686086515.638275,28.0,1686086515.638275
1,3407,0.1,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,super-sweep-20,ebf59s5q,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.1_256_0.001_1_1_6dba434c-6b5e-4c41-bf87-6ea6221eb328/qid_model.ckpt,0.0,{'runtime': 1100},1100.7917103767395,0.9629929024727302,0.992103602805192,1686084176.1739173,8.0,1686084176.1739173
1,42,0.1,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,neat-sweep-19,e1z4hrnk,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.1_256_0.001_1_1_a92d9011-a03a-4b69-9ea6-dc7aa896213a/qid_model.ckpt,0.0,{'runtime': 1101},1102.221097946167,0.9628721505910134,0.9921265057787468,1686083061.310471,8.0,1686083061.310471
1,3407,0.1,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,giddy-sweep-18,8txnxm4d,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.1_64_1e-05_1_1_679a1c3d-1f05-43da-8ccd-a10964f6adaa/qid_model.ckpt,0.0,{'runtime': 478},478.6005094051361,0.857945473816967,0.9134793254976912,1686081943.9336314,51.0,1686081943.9336314
1,42,0.1,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,confused-sweep-17,w8uig8aj,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.1_64_1e-05_1_1_e670ae57-83a2-4f81-b911-20d11e731199/qid_model.ckpt,0.0,{'runtime': 477},477.8769814968109,0.8619403485704319,0.9183217873512728,1686081449.1783144,51.0,1686081449.1783144
1,3407,0.1,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,skilled-sweep-16,d84e7kvk,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.1_64_0.0001_1_1_6067ebe9-9bfe-4912-bd2c-906a410de718/qid_model.ckpt,0.0,{'runtime': 583},584.0008709430695,0.958642480511988,0.988771865544545,1686080955.91787,64.0,1686080955.91787
1,42,0.1,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,zesty-sweep-15,frc2bil4,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.1_64_0.0001_1_1_f946bd81-278d-4ab7-813a-e0505d45950f/qid_model.ckpt,0.0,{'runtime': 597},598.0439918041229,0.9576529859256974,0.9890802424602828,1686080360.172695,67.0,1686080360.172695
1,3407,0.1,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,glamorous-sweep-14,xhikphbl,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.1_64_0.001_1_1_dbfbf5ad-c732-47a1-979e-8dfe70aa1bdd/qid_model.ckpt,0.0,{'runtime': 176},177.32895588874817,0.9609065782941784,0.9909325330793616,1686079748.092067,13.0,1686079748.092067
1,42,0.1,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,lilac-sweep-13,oc0d1f5g,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.1_64_0.001_1_1_0a519023-5ac1-4fae-8966-9630a6f37bcf/qid_model.ckpt,0.0,{'runtime': 192},192.76615118980408,0.960886452980559,0.9912084617422836,1686079556.760878,15.0,1686079556.760878
1,3407,0.05,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,peachy-sweep-12,9ooih5xr,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.05_256_1e-05_1_1_99fb2c45-9e2b-4ede-8739-ffa813d18025/qid_model.ckpt,0.0,{'runtime': 6528},6528.845098733902,0.9545671045040452,0.9872895655351428,1686079333.9752836,100.0,1686079333.9752836
1,42,0.05,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,icy-sweep-11,j5x4stzq,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.05_256_1e-05_1_1_25c90876-f3cc-4036-a647-69131530b0f1/qid_model.ckpt,0.0,{'runtime': 6730},6731.332886695862,0.9551507385990098,0.9876274639500908,1686072791.3292518,103.0,1686072791.3292518
1,3407,0.05,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,leafy-sweep-10,apkg59uq,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.05_256_0.0001_1_1_662dc55a-1bfe-40f8-a037-89377f966437/qid_model.ckpt,0.0,{'runtime': 1975},1976.6680793762207,0.961195041122724,0.9910741248453244,1686066025.1551285,23.0,1686066025.1551285
1,42,0.05,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,eternal-sweep-9,zb1azvu5,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.05_256_0.0001_1_1_bd14866f-d337-4060-9e93-b11d715a7001/qid_model.ckpt,0.0,{'runtime': 2285},2286.661597967148,0.9618155716259912,0.9913817523874964,1686064035.186927,28.0,1686064035.186927
1,3407,0.05,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,sandy-sweep-8,4mteqndv,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.05_256_0.001_1_1_ba7f8e08-a542-421f-ae5a-a0558cb09e4d/qid_model.ckpt,0.0,{'runtime': 1080},1080.5149080753326,0.9629358807508084,0.9921077202792328,1686061735.956008,8.0,1686061735.956008
1,42,0.05,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,golden-sweep-7,rfg0itf0,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.05_256_0.001_1_1_83132642-9d52-4a6b-91c8-f41992b3a13b/qid_model.ckpt,0.0,{'runtime': 1073},1074.1690113544464,0.9628553794963304,0.9921163032855465,1686060641.5755694,8.0,1686060641.5755694
1,3407,0.05,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,fallen-sweep-6,d2o2ln53,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.05_64_1e-05_1_1_1340603b-b909-4444-8409-ea09ebf08447/qid_model.ckpt,0.0,{'runtime': 478},478.5348699092865,0.8578683267814257,0.9134234481195308,1686059554.4601269,51.0,1686059554.4601269
1,42,0.05,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,wandering-sweep-5,djpo29gd,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.05_64_1e-05_1_1_c81e9f3a-5068-4461-abe8-f54c2bea1bd5/qid_model.ckpt,0.0,{'runtime': 482},483.4112811088562,0.8618430762212711,0.918215247662078,1686059063.0391672,51.0,1686059063.0391672
1,3407,0.05,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,ethereal-sweep-4,8mrt4r2g,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_1_0.05_64_0.0001_1_1_e7dd42b2-a91d-4091-b262-7653192607ce/qid_model.ckpt,0.0,{'runtime': 580},581.5333485603333,0.958665960044544,0.988790847588897,1686058564.9625516,64.0,1686058564.9625516
1,42,0.05,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,avid-sweep-3,7cpjnba6,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.05_64_0.0001_1_1_313c0d00-9998-4286-9c5c-79dfa53108ea/qid_model.ckpt,0.0,{'runtime': 609},607.0666508674622,0.9576697570203804,0.9891019869386264,1686057970.3058388,67.0,1686057970.3058388
1,3407,0.05,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,avid-sweep-2,8a1i6umi,crashed,,,,,,,,,
1,42,0.05,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,morning-sweep-1,n85j8vxd,finished,/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_1_0.05_64_0.001_1_1_7edb1780-04e6-4d75-b7ab-d857b6118bf4/qid_model.ckpt,0.0,{'runtime': 198},197.8708508014679,0.9609233493888611,0.9912164098245774,1686056188.535272,15.0,1686056188.535272
